timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
217383852,-2.7814214,-3.17082,-3.2677975,0.075024724,0.07829577,1,1
217483852,-3.7271404,-4.2489395,-4.3788733,0.075024515,0.0782965,1,1
217583854,0.65038335,0.74143696,0.764114,0.07539545,0.07868475,1,1
217783853,2.0498893,2.3368735,2.4083319,0.07481352,0.07807741,1,1
217983851,3.528064,4.0219927,4.145017,0.073946826,0.077173606,1,1
218183852,-1.7356544,-1.9786457,-2.039163,0.0727579,0.07593382,1,1
218383851,-2.3641334,-2.6951118,-2.777537,0.07401266,0.0772432,1,1
218583854,-1.7356579,-1.9786499,-2.0391555,0.07420472,0.077444576,1,1
218783851,-6.9046326,-7.87128,-8.112018,0.07454609,0.077801235,1,1
218983851,-4.801343,-5.4735303,-5.6409397,0.07482486,0.0780935,1,1
219183852,1.3081671,1.4913104,1.5369264,0.074413605,0.077664465,1,1
219383852,2.85532,3.2550645,3.3545556,0.07288793,0.076071665,1,1
219583851,-4.8606043,-5.541088,-5.7105637,0.07521686,0.07850387,1,1
219783851,-3.143803,-3.5839348,-3.693624,0.074768715,0.07803893,1,1
219983851,-2.2714946,-2.5895035,-2.6686385,0.07380965,0.0770345,1,1
220183865,2.8553221,3.2550669,3.3546326,0.07283695,0.07602196,1,1
220383852,-4.0932245,-4.6662755,-4.8090196,0.07296282,0.07615414,1,1
220583852,1.1321993,1.290707,1.3301836,0.07078649,0.07388166,1,1
220783851,1.73194,1.9744114,2.034776,0.07324249,0.0764456,1,1
220983851,3.209368,3.658679,3.7706432,0.06677444,0.069697,1,1
221183851,3.5884066,4.090783,4.2159142,0.06294322,0.06569742,1,1
221383851,-2.8575766,-3.257637,-3.3572953,0.05802792,0.060567707,1,1
221583854,4.1437945,4.723925,4.868424,0.048458967,0.05058004,1,1
221783867,-1.8552451,-2.1149793,-2.17971,0.051402785,0.05365445,1,1
221983862,-1.7356544,-1.9786457,-2.0391936,0.05344775,0.055789314,1,1
222183854,2.1050124,2.399714,2.4731317,0.063177325,0.06594561,1,1
222383859,-8.468908,-9.654554,-9.949892,0.06195128,0.06466475,1,1
222583851,-4.1453495,-4.725698,-4.870199,0.05538568,0.057812087,1,1
222783855,-4.3377175,-4.9449973,-5.0962543,0.095702805,0.099898055,1,1
222983866,-3.211376,-3.660968,-3.7731297,0.1415779,0.1477908,1,1
223183883,-4.429153,-5.049234,-5.2038636,0.17031105,0.17778456,1,1
223383900,-4.1625795,-4.7453403,-4.89072,0.29845223,0.31155485,1,1
223583931,-3.8031762,-4.3356204,-4.4685364,0.3305724,0.345092,1,1
223783931,1.8517706,2.1110182,2.1758893,0.27448356,0.28651866,1,1
223983850,-1.1378729,-1.297175,-1.3371118,0.3407355,0.35568973,1,1
224183851,2.7791052,3.1681795,3.2657046,0.3588093,0.37455982,1,1
224383861,-4.8606043,-5.541088,-5.7116127,0.41278192,0.4309051,1,1
224583851,3.2227228,3.6739035,3.7870824,0.43008223,0.44898498,1,1
224783851,-4.0932245,-4.6662755,-4.810002,0.47528246,0.496172,1,1
224983851,-3.5902007,-4.0928283,-4.2188706,0.55017084,0.57434905,1,1
225183851,2.700736,3.0788388,3.1737137,0.5623484,0.5870633,1,1
225383851,3.5884082,4.090785,4.2168064,0.5961611,0.62235665,1,1
225583851,-5.0766773,-5.7874117,-5.965788,0.665263,0.6945274,1,1
225783850,-4.8606043,-5.541088,-5.711675,0.6791041,0.70896405,1,1
225983851,-5.417684,-6.176159,-6.366989,0.69117,0.7216275,1,1
226183851,1.8517706,2.1110182,2.1760933,0.7486244,0.7815845,1,1
226383851,-2.4532738,-2.7967317,-2.8829713,0.7806187,0.81499493,1,1
226583851,1.8517673,2.1110144,2.1761541,0.7909593,0.8258078,1,1
226783851,3.2755888,3.7341707,3.849111,0.8096929,0.84531766,1,1
226983851,-2.8575766,-3.257637,-3.358266,0.8167697,0.8527964,1,1
227183851,-3.211376,-3.660968,-3.7740562,0.8329659,0.869707,1,1
227383850,-4.680568,-5.3358474,-5.500795,0.84699637,0.88439006,1,1
227583851,4.056515,4.624427,4.7674804,0.8761089,0.91481155,1,1
227783851,2.85532,3.2550645,3.3557484,0.88991696,0.929225,1,1
227983851,-4.556596,-5.1945186,-5.3551145,0.91743386,0.9579557,1,1
228183851,3.1869888,3.6331668,3.745578,0.92272705,0.963487,1,1
228383851,0.65038335,0.74143696,0.76438534,0.9107384,0.9509967,1,1
228583852,2.3614051,2.6920016,2.7755423,0.9225761,0.96344155,1,1
228783851,0.65038335,0.74143696,0.76439863,0.94270086,0.9844046,1,1
228983851,-2.7814214,-3.17082,-3.2691698,0.9425459,0.98428875,1,1
229183850,-1.1378729,-1.297175,-1.3373343,0.952866,0.9950256,1,1
229383852,-5.922594,-6.7517567,-6.9613686,0.9533226,0.9956019,1,1
229583850,3.1869888,3.6331668,3.7460904,0.9619974,1.0046961,1,1
229783851,1.8517706,2.1110182,2.1766045,0.96779555,1.0107553,1,1
229983851,4.143796,4.723927,4.870993,0.97003573,1.0131575,1,1
230183852,3.5884082,4.090785,4.217953,0.9704531,1.0135645,1,1
230383851,3.8202636,4.3551,4.490529,0.9685745,1.0116125,1,1
230583851,3.209368,3.658679,3.7723582,0.95288163,0.9952135,1,1
230783851,-4.6344666,-5.2832913,-5.4477315,0.97594905,1.0193586,1,1
230983878,-4.1453495,-4.725698,-4.872683,0.9733,1.0165492,1,1
231183851,1.8517706,2.1110182,2.1767445,0.9643893,1.0072948,1,1
231383862,3.2755888,3.7341707,3.8503098,0.97506714,1.0184149,1,1
231583851,4.3952503,5.010585,5.1667547,0.99679774,1.041195,1,1
231783851,2.1050124,2.399714,2.4745572,0.9913446,1.035503,1,1
231983854,2.7007382,3.0788412,3.1747947,0.9755845,1.0190426,1,1
232183851,3.209368,3.658679,3.7727313,0.98957354,1.0336789,1,1
232383852,-0.93022394,-1.0604552,-1.0935317,0.9943805,1.0387263,1,1
232583851,3.5884066,4.090783,4.2191257,0.9776116,1.021211,1,1
232783851,2.4506474,2.7937376,2.8814726,0.9719508,1.0153602,1,1
232983851,2.7791052,3.1681795,3.267119,0.9734058,1.0168864,1,1
233183851,-4.396715,-5.0122547,-5.1695304,0.9646435,1.0077575,1,1
233383851,-3.3209417,-3.7858732,-3.9048812,0.97490513,1.0184929,1,1
233583851,3.2755888,3.7341707,3.8515918,0.973798,1.0173626,1,1
233783851,-1.7356544,-1.9786457,-2.040844,0.96169835,1.0047117,1,1
233983851,-4.569145,-5.208825,-5.372962,0.9633204,1.006481,1,1
234183850,4.3952503,5.010585,5.1682534,0.96921664,1.0126222,1,1
234383852,0.65038335,0.74143696,0.7647754,0.9612285,1.0042943,1,1
