timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
217318720,12478544,3,4259850,4028193,4325386,396321,0.027953805,0.015991269,0.019247837,0.016006595,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
218318730,12478544,3,4259850,4028193,4325386,396321,0.014671774,0.013413509,0.013645237,0.013432484,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
219318800,12478544,3,4259850,4028193,4325386,396321,0.016434098,0.015442714,0.016392075,0.015444772,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
220318920,12478544,3,4259850,4028193,4325386,396321,0.025502162,0.02450979,0.02548695,0.024507895,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
221318972,12478544,3,4259850,4028193,4325386,396321,0.02310343,0.022090927,0.023172345,0.022088004,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
222319071,12478544,3,4259850,4028193,4325386,396321,0.016294615,0.021436308,0.016478462,0.021624515,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
223319212,12478544,3,4259850,4028193,4325386,396321,0.0640657,0.062669076,0.064207144,0.06267103,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
224319308,12478544,3,4259850,4028193,4325386,396321,0.015841264,0.021430142,0.023555517,0.021104615,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
225319317,12478544,3,4259850,4028193,4325386,396321,0.016709384,0.024828775,0.014427789,0.018698579,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
226319415,12478544,3,4259850,4028193,4325386,396321,0.03659897,0.027334718,0.041141972,0.021917636,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
