timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
217451360,217352205,6.6074725e-05,0.0009264207,0.0017162713,67109399,0,0.3681677,0.396673,0.07231293,0.022338796,0.008494492,0.016411342,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
217461240,217362083,5.9913764e-05,0.0009620449,0.0015775744,67109399,0,0.36900118,0.39734966,0.07231293,0.022338796,0.008494492,0.016411342,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
217659341,217559640,0.0011642962,0.0035862087,0.007437318,67109399,0,0.3519874,0.3917842,0.16372113,0.010055388,0.00716032,0.017368037,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
217856336,217757197,0.0015494847,0.0022000843,0.004659677,67109399,0,0.36774474,0.3949716,0.18264326,0.010055388,0.00716032,0.010405159,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
218054019,217954754,0.0015155129,0.0020188768,0.0026309064,67109399,0,0.36712122,0.3963498,0.19262713,0.014467447,0.0068129194,0.018969696,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
218261504,218162189,0.0011567839,0.0019859658,0.004487287,67109399,0,0.35088685,0.3915092,0.16347298,0.019179046,0.0076479726,0.016672723,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
218459104,218359746,0.0015070741,0.001140073,0.0024674514,67109399,0,0.36673346,0.39727867,0.20417716,0.019179046,0.0076479726,0.014726481,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
218656434,218557303,0.0016640353,0.0023413184,0.002096598,67109399,0,0.36599472,0.39613608,0.18797284,0.0119187245,0.005914787,0.010705165,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
218853949,218754860,0.0010631168,0.002324985,0.0032216983,67109399,0,0.36533815,0.39501062,0.15014608,0.025070876,0.0073900954,0.015871685,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
219061562,218962295,0.001153175,0.0062509445,0.009013034,67109399,0,0.34899727,0.3926928,0.16487882,0.00865143,0.007268139,0.016681312,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
219259206,219159853,0.0014547561,0.003503046,0.0047903573,1049239,0,0.3648929,0.39600968,0.15583763,0.00865143,0.007268139,0.018759107,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
219456507,219357410,0.0007665576,0.002012063,0.002845948,1049239,0,0.36421248,0.39491016,0.060912993,0.018411547,0.006595081,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
219654068,219554967,0.0002816483,0.0012666909,0.0015137878,1049239,0,0.36354262,0.396351,0.0956048,0.013994253,0.007023906,0.009946252,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
219851679,219752525,0.00022016098,0.0031034374,0.0063714082,1049239,0,0.36290115,0.39528474,0.024186155,0.047929883,0.005404432,0.012373299,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
