timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
216744630,0,0,164,161,100,80,70
217792021,0,0,164,161,100,74,62
218750436,0,0,165,160,100,82,67
219755967,0,0,165,159,96,83,70
220788462,0,0,166,160,100,82,67
221818397,0,0,166,163,100,81,64
222869513,0,0,166,163,100,79,68
223795828,0,0,169,163,100,81,64
224812571,0,0,174,169,100,80,64
225872633,0,0,176,171,89,81,66
226781182,0,0,176,172,97,83,67
227827432,0,0,169,170,99,83,65
228755907,0,0,155,165,100,83,62
229795192,0,0,154,152,95,80,67
230835286,0,0,155,151,95,80,66
231769271,0,0,164,158,97,81,58
232817634,0,0,169,166,97,81,62
233818208,0,0,170,163,97,79,61
234756018,0,0,171,166,100,81,58
235798133,0,0,169,165,92,86,57
236833187,0,0,162,151,96,81,63
237789279,1,0,149,135,97,83,60
238786389,1,0,156,148,100,79,62
239812944,1,0,158,157,100,81,63
240751998,1,0,162,158,96,81,61
241816572,1,0,164,160,100,80,55
242831031,1,0,164,158,100,83,61
243773402,1,0,161,154,100,80,57
244805631,1,0,155,150,100,79,62
245831375,1,0,149,144,99,81,60
246753825,1,0,146,141,100,81,62
247842137,1,0,140,134,93,80,59
248837279,1,0,129,134,96,79,58
249768146,1,0,121,116,91,82,60
250799836,1,0,129,126,100,74,55
251829964,1,0,120,114,100,80,70
252766866,1,0,126,119,100,80,67
253800586,1,0,137,133,98,81,59
254822180,1,0,128,127,99,80,56
255761344,1,0,136,131,100,81,60
256789453,1,0,143,138,100,84,61
257833028,1,0,146,142,98,82,59
258754279,1,0,145,140,99,83,55
259834550,1,0,148,142,97,82,59
260845447,1,0,151,147,100,79,54
261768308,1,0,153,148,92,85,64
262794065,1,0,152,148,97,80,58
263836634,1,0,151,146,97,81,61
264780087,1,0,151,148,100,82,60
265803422,1,0,155,150,96,83,63
266851645,1,0,156,153,96,84,59
267767210,1,0,152,147,100,83,59
268791633,1,0,146,137,100,79,57
269760116,1,0,145,139,99,79,59
270775364,1,0,137,131,100,81,60
