timestamp,safety_switch_available,safety_off
216475606,1,1
217484628,1,1
218485622,1,1
219486606,1,1
220487606,1,1
221488606,1,1
222490136,1,1
223491698,1,1
224493628,1,1
225494606,1,1
226495606,1,1
227496627,1,1
228497606,1,1
229498606,1,1
230500345,1,1
231500606,1,1
232501606,1,1
233503606,1,1
234504606,1,1
235505606,1,1
236506606,1,1
237507645,1,1
238508628,1,1
239509606,1,1
240510776,1,1
241511606,1,1
242512606,1,1
243513606,1,1
244515606,1,1
245516606,1,1
246517606,1,1
247520025,1,1
248520606,1,1
249521918,1,1
250522994,1,1
251523606,1,1
252524656,1,1
253525717,1,1
254527606,1,1
255529606,1,1
256530606,1,1
257532607,1,1
258533896,1,1
259534606,1,1
260535606,1,1
261537803,1,1
262538606,1,1
263540606,1,1
264541606,1,1
265542606,1,1
266543606,1,1
267544606,1,1
268545607,1,1
269546606,1,1
270547606,1,1
271548853,1,1
272549606,1,1
273550606,1,1
274552606,1,1
275554188,1,1
276554606,1,1
277555606,1,1
278557010,1,1
279557606,1,1
280558606,1,1
281560222,1,1
282560606,1,1
283561606,1,1
284562774,1,1
285563606,1,1
286565606,1,1
287566606,1,1
288567606,1,1
289568606,1,1
290569606,1,1
291570917,1,1
292571606,1,1
293572606,1,1
294573606,1,1
295574606,1,1
296575606,1,1
297576664,1,1
298577606,1,1
299578606,1,1
300579606,1,1
301580606,1,1
302581854,1,1
303582606,1,1
304583606,1,1
305585606,1,1
306587647,1,1
307588606,1,1
308589606,1,1
309590630,1,1
310592606,1,1
311593629,1,1
312594665,1,1
313595606,1,1
314596606,1,1
315597683,1,1
316598606,1,1
317600606,1,1
318601606,1,1
319602607,1,1
320603606,1,1
321604876,1,1
322605606,1,1
323606621,1,1
324607772,1,1
325608606,1,1
326609606,1,1
327610655,1,1
328611617,1,1
329612606,1,1
330614138,1,1
331615606,1,1
332616606,1,1
333617606,1,1
334618683,1,1
335620606,1,1
336621629,1,1
337622606,1,1
338623606,1,1
339624670,1,1
340625606,1,1
341626606,1,1
342628622,1,1
343629938,1,1
344631606,1,1
345633606,1,1
346635607,1,1
347636606,1,1
348637606,1,1
349638638,1,1
350639606,1,1
351640653,1,1
352641606,1,1
353642606,1,1
354643606,1,1
355644607,1,1
356646030,1,1
357646606,1,1
358648606,1,1
359649606,1,1
360650606,1,1
361651638,1,1
362652628,1,1
363655043,1,1
364655606,1,1
365656937,1,1
366657606,1,1
367658637,1,1
368659606,1,1
369660606,1,1
370661980,1,1
371662606,1,1
372663606,1,1
373665606,1,1
374666606,1,1
375668606,1,1
376670607,1,1
377671607,1,1
378672606,1,1
379673606,1,1
380674627,1,1
381675606,1,1
382676609,1,1
383678043,1,1
384678644,1,1
385680606,1,1
386683203,1,1
387684606,1,1
388685606,1,1
389687632,1,1
390688606,1,1
391689606,1,1
392690606,1,1
393691606,1,1
394692666,1,1
395693648,1,1
396694628,1,1
397696606,1,1
398698854,1,1
399699606,1,1
400700606,1,1
401701612,1,1
402702606,1,1
403703606,1,1
404704606,1,1
405705607,1,1
406706606,1,1
407707606,1,1
408708606,1,1
409709680,1,1
410710606,1,1
411711606,1,1
412712606,1,1
413713606,1,1
414715177,1,1
415715606,1,1
416717805,1,1
417720606,1,1
418721606,1,1
419722606,1,1
420723606,1,1
421724607,1,1
422725743,1,1
423726606,1,1
424727607,1,1
425728606,1,1
426729606,1,1
427730970,1,1
428731609,1,1
429733618,1,1
430735606,1,1
431736606,1,1
432737606,1,1
433738606,1,1
434739606,1,1
435740606,1,1
436742606,1,1
437743606,1,1
438744627,1,1
439745629,1,1
440747607,1,1
441748606,1,1
442750606,1,1
443751606,1,1
444753606,1,1
445754607,1,1
446755606,1,1
447756641,1,1
448757606,1,1
449758606,1,1
450759606,1,1
451760606,1,1
452762044,1,1
453762606,1,1
454763629,1,1
455764959,1,1
456765606,1,1
457766628,1,1
458767763,1,1
459768606,1,1
460769606,1,1
461770755,1,1
462771606,1,1
463772606,1,1
464773627,1,1
465774606,1,1
466775606,1,1
467776660,1,1
468777606,1,1
469778606,1,1
470779904,1,1
471780606,1,1
472782606,1,1
473783606,1,1
474785156,1,1
475785623,1,1
476786606,1,1
477787777,1,1
478789606,1,1
479790695,1,1
480791606,1,1
481792606,1,1
482793606,1,1
483794606,1,1
484796645,1,1
485797606,1,1
486799606,1,1
487800606,1,1
488801673,1,1
489802606,1,1
490803606,1,1
491805606,1,1
492807731,1,1
493808637,1,1
494809607,1,1
495811606,1,1
496812606,1,1
497813606,1,1
498814636,1,1
499815632,1,1
500816606,1,1
501817606,1,1
502818606,1,1
503819606,1,1
504820640,1,1
505821606,1,1
506822633,1,1
507823988,1,1
508824607,1,1
509825626,1,1
510833606,1,1
