timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
217458516,217458259,-0.86445284,-0.020921046,-2.1988435e-05,-0.5022785,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
217463496,217463258,-0.86445135,-0.020918189,-2.5057785e-05,-0.5022812,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
217508487,217508262,-0.8644612,-0.02090714,-3.289692e-05,-0.50226474,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
217558496,217558266,-0.8644139,-0.020910287,-3.2449065e-05,-0.502346,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
217608497,217608270,-0.8643466,-0.020921828,-5.5261637e-05,-0.5024611,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
217658572,217658275,-0.86426353,-0.020903269,-6.6080574e-05,-0.5026049,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
217708545,217708278,-0.86417794,-0.020929066,-3.8893057e-05,-0.50275093,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
217758509,217758282,-0.8640901,-0.020939564,-3.433e-05,-0.5029015,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
217808521,217808287,-0.863984,-0.020948786,-3.86846e-05,-0.5030834,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
217858535,217858291,-0.8638877,-0.020961864,-3.3161552e-05,-0.50324816,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
217908527,217908295,-0.86378425,-0.0209527,-5.9102542e-05,-0.5034261,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
217958525,217958299,-0.8636874,-0.020979725,-9.3164e-05,-0.50359106,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218008570,218008303,-0.86359495,-0.021010855,-9.497459e-05,-0.5037485,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218058564,218058307,-0.86350965,-0.021020196,-0.00013918159,-0.5038942,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218108537,218108311,-0.86340606,-0.021022657,-0.00014327417,-0.50407135,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218158543,218158315,-0.86332655,-0.021009136,-0.0001628705,-0.5042083,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218208542,218208319,-0.8632331,-0.02100182,-0.00016444945,-0.50436866,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218258566,218258323,-0.86314404,-0.021003779,-0.00015636845,-0.5045208,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218308552,218308327,-0.863055,-0.021017747,-0.00016617643,-0.50467265,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218358548,218358332,-0.86298007,-0.021018572,-0.00012725467,-0.50480056,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218408553,218408336,-0.86288375,-0.021045953,-0.00011143862,-0.5049642,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218458599,218458340,-0.8627946,-0.021042889,-0.00011602319,-0.5051166,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218508565,218508344,-0.86268365,-0.0210542,-6.864032e-05,-0.50530565,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218558593,218558348,-0.8625937,-0.021087708,-9.9843484e-05,-0.50545776,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218608573,218608352,-0.8624895,-0.02109524,-9.5467425e-05,-0.505635,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218658596,218658356,-0.86239827,-0.021114096,-0.000111026275,-0.50579005,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218708578,218708360,-0.86229837,-0.02111481,-0.00014139192,-0.50596017,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218758583,218758364,-0.8622201,-0.021156654,-0.00014803956,-0.5060919,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218808590,218808368,-0.8621374,-0.02114685,-0.00016346977,-0.5062332,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218858606,218858373,-0.8620597,-0.021134729,-0.00017351774,-0.50636584,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218908593,218908377,-0.86197317,-0.021158427,-0.00014972898,-0.50651234,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
218958602,218958381,-0.8618972,-0.021209821,-0.00017372891,-0.5066394,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219008657,219008385,-0.86183375,-0.021233756,-0.00018406333,-0.50674623,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219058628,219058389,-0.86175144,-0.021259304,-0.00016248095,-0.5068852,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219108609,219108393,-0.861676,-0.021275168,-0.00017970672,-0.5070126,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219158626,219158397,-0.86158353,-0.0212711,-0.00023155492,-0.5071699,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
