timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
217335251,1,1,1,0,0,1,1,0,0,0,1,1,0
217836718,1,1,1,0,0,1,1,0,0,0,1,1,0
218023837,1,1,0,1,0,1,1,0,1,1,1,1,0
218045645,1,1,0,1,0,1,1,0,1,1,1,1,0
218551641,1,1,0,1,0,1,1,0,1,1,1,1,0
219057641,1,1,0,1,0,1,1,0,1,1,1,1,0
219564101,1,1,0,1,0,1,1,0,1,1,1,1,0
220069905,1,1,0,1,0,1,1,0,1,1,1,1,0
220575643,1,1,0,1,0,1,1,0,1,1,1,1,0
221081662,1,1,0,1,0,1,1,0,1,1,1,1,0
221587643,1,1,0,1,0,1,1,0,1,1,1,1,0
222093663,1,1,0,1,0,1,1,0,1,1,1,1,0
222599641,1,1,0,1,0,1,1,0,1,1,1,1,0
223106651,1,1,0,1,0,1,1,0,1,1,1,1,0
223612641,1,1,0,1,0,1,1,0,1,1,1,1,0
224119842,1,1,0,1,0,1,1,0,1,1,1,1,0
224625662,1,1,0,1,0,1,1,0,1,1,1,1,0
225131642,1,1,0,1,0,1,1,0,1,1,1,1,0
225637641,1,1,0,1,0,1,1,0,1,1,1,1,0
226143642,1,1,0,1,0,1,1,0,1,1,1,1,0
226649647,1,1,0,1,0,1,1,0,1,1,1,1,0
227155660,1,1,0,1,0,1,1,0,1,1,1,1,0
227661662,1,1,0,1,0,1,1,0,1,1,1,1,0
228167641,1,1,0,1,0,1,1,0,1,1,1,1,0
228673640,1,1,0,1,0,1,1,0,1,1,1,1,0
229179883,1,1,0,1,0,1,1,0,1,1,1,1,0
229685642,1,1,0,1,0,1,1,0,1,1,1,1,0
230191642,1,1,0,1,0,1,1,0,1,1,1,1,0
230697802,1,1,0,1,0,1,1,0,1,1,1,1,0
231203671,1,1,0,1,0,1,1,0,1,1,1,1,0
231710105,1,1,0,1,0,1,1,0,1,1,1,1,0
232215641,1,1,0,1,0,1,1,0,1,1,1,1,0
232721640,1,1,0,1,0,1,1,0,1,1,1,1,0
233228711,1,1,0,1,0,1,1,0,1,1,1,1,0
233734640,1,1,0,1,0,1,1,0,1,1,1,1,0
234240661,1,1,0,1,0,1,1,0,1,1,1,1,0
234746640,1,1,0,1,0,1,1,0,1,1,1,1,0
235252640,1,1,0,1,0,1,1,0,1,1,1,1,0
