timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
217850613,1693632361400291,366607228,1263420409,6442,24098,0.28500003,0.71726114,1.079,1.6100001,0.57,0.87,95,80,0.027,0.013,-0.023000002,0.08400001,5.7874765,0,nan,0.0,3,0,1,20,0
218251638,1693632361800291,366607229,1263420409,6469,24124,0.27100003,0.7172821,1.0730001,1.6,0.57,0.87,94,74,0.049000002,0.048,-0.010000001,0.106000006,5.7874765,0,nan,0.0,3,0,1,20,0
218850613,1693632362400291,366607232,1263420409,6445,24101,0.238,0.71731216,1.064,1.5870001,0.57,0.87,94,74,0.034,-0.028,-0.020000001,0.080000006,5.7874765,0,nan,0.0,3,0,1,20,0
219254137,1693632362800291,366607233,1263420409,6449,24104,0.273,0.7173331,1.059,1.5780001,0.57,0.87,94,83,0.034,0.024,-0.025,0.101,5.7874765,0,nan,0.0,3,0,1,20,0
219854612,1693632363400291,366607235,1263420407,6427,24082,0.25300002,0.7173631,1.051,1.5660001,0.57,0.87,94,83,0.014,0.013,-0.007,0.012,5.7874765,0,nan,0.0,3,0,1,20,0
220247613,1693632363800292,366607237,1263420406,6418,24073,0.238,0.71738195,1.046,1.557,0.57,0.87,95,82,0.032,-0.016,-0.028,0.065000005,5.7874765,0,nan,0.0,3,0,1,20,0
220845614,1693632364400292,366607238,1263420406,6435,24091,0.264,0.717412,1.0380001,1.5460001,0.57,0.87,95,82,0.027,0.022000002,-0.015000001,0.035,5.7874765,0,nan,0.0,3,0,1,20,0
221250614,1693632364800292,366607239,1263420408,6454,24110,0.23200001,0.7174311,1.033,1.5380001,0.57,0.87,95,75,0.039,0.029000001,0.026,0.013,5.7874765,0,nan,0.0,3,0,1,20,0
221851621,1693632365400292,366607240,1263420408,6477,24132,0.18400002,0.71745646,1.026,1.5280001,0.57,0.87,95,75,0.068,-0.018000001,-0.066,0.006,5.7874765,0,nan,0.0,3,0,1,20,0
222245613,1693632365800292,366607240,1263420407,6463,24118,0.209,0.7174724,1.021,1.521,0.57,0.87,95,81,0.046000004,-0.046000004,0.001,0.067,5.7874765,0,nan,0.0,3,0,1,20,0
222847613,1693632366400292,366607242,1263420407,6429,24084,0.24100001,0.71750116,1.014,1.5120001,0.57,0.87,95,81,0.049000002,0.006,-0.049000002,0.066,5.7874765,0,nan,0.0,3,0,1,20,0
223251627,1693632366800293,366607243,1263420404,6428,24083,0.185,0.7175174,1.01,1.5070001,0.57,0.87,95,89,0.15300001,0.014,-0.15200001,0.044000003,5.7874765,0,nan,0.0,3,0,1,20,0
223853612,1693632367400293,366607251,1263420393,6492,24147,0.202,0.5825345,1.0020001,1.496,0.57,0.87,95,89,0.19500001,0.044000003,-0.18900001,-0.27400002,5.5845723,0,nan,0.0,3,0,1,20,0
224241612,1693632367800293,366607250,1263420388,6636,24291,0.25500003,0.5825628,0.99700004,1.4900001,0.57,0.87,95,75,0.162,-0.134,-0.09200001,-0.275,5.5845723,0,nan,0.0,3,0,1,20,0
