timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check,at_rest
216498688,0,1,1,1,1,1,1,0,0,1,1
217498760,0,1,1,1,1,1,1,0,0,1,1
218039122,0,1,1,1,0,0,1,0,0,1,1
218058911,0,1,1,1,1,1,1,0,0,1,1
219059089,0,1,1,1,1,1,1,0,0,1,1
219068904,0,1,0,0,1,1,1,0,0,1,0
219328915,0,0,0,0,1,1,0,0,0,1,0
220328964,0,0,0,0,1,0,0,0,0,1,0
221329042,0,0,0,0,1,0,0,0,0,1,0
222329197,0,0,0,0,1,0,0,0,0,1,0
223329210,0,0,0,0,1,0,0,0,0,1,0
224069467,0,0,0,0,0,0,0,1,0,1,0
225079509,0,0,0,0,0,0,0,1,0,1,0
226079552,0,0,0,0,0,0,0,1,0,1,0
227079592,0,0,0,0,0,0,0,1,0,1,0
228079792,0,0,0,0,0,0,0,1,0,1,0
229089756,0,0,0,0,0,0,0,1,0,1,0
230089815,0,0,0,0,0,0,0,1,0,1,0
231090073,0,0,0,0,0,0,0,1,0,1,0
232100107,0,0,0,0,0,0,0,1,0,1,0
233100135,0,0,0,0,0,0,0,1,0,1,0
234100237,0,0,0,0,0,0,0,1,0,1,0
235100383,0,0,0,0,0,0,0,1,0,1,0
236100403,0,0,0,0,0,0,0,1,0,1,0
237100505,0,0,0,0,0,0,0,1,0,1,0
238100604,0,0,0,0,0,0,0,1,0,1,0
239100712,0,0,0,0,0,0,0,1,0,1,0
240100732,0,0,0,0,0,0,0,1,0,1,0
241100886,0,0,0,0,0,0,0,1,0,1,0
242100915,0,0,0,0,0,0,0,1,0,1,0
243101077,0,0,0,0,0,0,0,1,0,1,0
244101096,0,0,0,0,0,0,0,1,0,1,0
245101228,0,0,0,0,0,0,0,1,0,1,0
246101285,0,0,0,0,0,0,0,1,0,1,0
247101444,0,0,0,0,0,0,0,1,0,1,0
248101534,0,0,0,0,0,0,0,1,0,1,0
249101573,0,0,0,0,0,0,0,1,0,1,0
250101666,0,0,0,0,0,0,0,1,0,1,0
251101815,0,0,0,0,0,0,0,1,0,1,0
252101884,0,0,0,0,0,0,0,1,0,1,0
