timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
217458731,217458259,19482731,36.660603099999996,126.342033,13.295182,0.65738124,4.402154,0.00075414986,0.0026697728,-0.004453227,0.004435317,-0.015261347,0.076522335,0.030683033,0.11503945,-0.07196041,0.1729673,0.009819186,0.018850524,-0.005479243,1.0523379,-0.004124522,13.964353,0.1,0.3687234,0.39687556,0.14570981,0.107581064,inf,inf,inf,inf,1,1,1,1,4,2,4,3,5,0,1,1,1,0
217468927,217468259,19482731,36.660603099999996,126.342033,13.295707,0.6573659,4.4024515,0.00075414986,0.0026697728,-0.004453227,0.004665763,-0.015347427,0.07657327,0.030727413,0.11503945,-0.07196041,0.1729673,-0.0065553044,-0.0059807776,-0.0005291197,1.0523365,-0.004124522,13.964353,0.1,0.35309237,0.39317283,0.1370322,0.10481455,inf,inf,inf,inf,1,1,1,1,4,2,4,3,5,0,1,1,1,0
217558761,217558266,19482731,36.660603099999996,126.342033,13.300009,0.6569564,4.4046946,0.00075414986,0.0026697728,-0.004453227,0.0064397817,-0.015470059,0.07679424,0.030289698,0.11503945,-0.07196041,0.1729673,-0.016356708,0.0073024635,-0.011866768,1.0524944,-0.004124522,13.964353,0.1,0.36006573,0.39414427,0.1410875,0.106055945,inf,inf,inf,inf,1,1,1,1,4,2,4,3,5,0,1,1,1,0
217658932,217658275,19482731,36.660603099999996,126.342033,13.304185,0.65630555,4.407151,0.00075414986,0.0026697728,-0.004453227,0.0074928086,-0.015285574,0.07611698,0.028943434,0.11503945,-0.07196041,0.1729673,-0.0064583994,0.006564995,-0.034996655,1.0530941,-0.004124522,13.964353,0.1,0.3519432,0.39151943,0.13661212,0.10454144,inf,inf,inf,inf,1,1,1,1,4,2,4,3,5,0,1,1,1,0
217758768,217758282,19482731,36.660603099999996,126.342033,13.309222,0.6568304,4.4081163,0.00075414986,0.0026697728,-0.004453227,0.00998897,-0.014613191,0.0761478,0.026799416,0.11503945,-0.07196041,0.1729673,0.018835979,-0.00019113207,0.014837529,1.0537792,-0.004124522,13.964353,0.1,0.3596838,0.39314476,0.14110707,0.10597639,inf,inf,inf,inf,1,1,1,1,4,2,4,3,5,0,1,1,1,0
217858798,217858291,19482731,36.660603099999996,126.342033,13.313472,0.65679264,4.4089537,0.00075414986,0.0026697728,-0.004453227,0.012191812,-0.014098481,0.07474866,0.023668759,0.11503945,-0.07196041,0.1729673,0.0064412137,0.02467808,0.016478065,1.0545813,-0.004124522,13.964353,0.1,0.36791438,0.39484018,0.14576305,0.10740037,inf,inf,inf,inf,1,1,1,1,4,2,4,3,5,0,1,1,1,0
217958704,217958299,19482731,36.660603099999996,126.342033,13.316829,0.6567465,4.4108343,0.00075414986,0.0026697728,-0.004453227,0.013190046,-0.013254216,0.07490217,0.023368245,0.11503945,-0.07196041,0.1729673,-0.0065718885,0.018490052,0.022662032,1.0553762,-0.004124522,13.964353,0.1,0.3592477,0.39465937,0.14112489,0.10615287,inf,inf,inf,inf,1,1,1,1,4,2,4,3,5,0,1,1,1,0
218058782,218058307,19482731,36.660603099999996,126.342033,13.31968,0.65627855,4.4123144,0.00075414986,0.0026697728,-0.004453227,0.012755228,-0.013134254,0.07415776,0.02185366,0.11503945,-0.07196041,0.1729673,0.0055114185,0.007168417,0.024253882,1.0560784,-0.004124522,13.964353,0.1,0.36748806,0.3963781,0.14569123,0.10758252,inf,inf,inf,inf,1,1,1,1,4,2,4,3,5,0,1,1,1,0
218158724,218158315,19482731,36.660603099999996,126.342033,13.323813,0.6556476,4.4149594,0.00075414986,0.0026697728,-0.004453227,0.013903151,-0.013180883,0.073421076,0.021637484,0.11503945,-0.07196041,0.1729673,-0.007836342,-0.010282318,-0.04780387,1.0568066,-0.004124522,13.964353,0.1,0.35880488,0.3936788,0.14105394,0.106060565,inf,inf,inf,inf,1,1,1,1,4,2,4,3,5,0,1,1,1,0
218258793,218258323,19482731,36.660603099999996,126.342033,13.327329,0.65466493,4.417162,0.00075414986,0.0026697728,-0.004453227,0.014971382,-0.01374636,0.07312286,0.021404475,0.11503945,-0.07196041,0.1729673,0.008201479,0.00444663,-9.58026e-05,1.0575303,-0.004124522,13.964353,0.1,0.36705273,0.3953868,0.14562373,0.107485294,inf,inf,inf,inf,1,1,1,1,4,2,4,3,5,0,1,1,1,0
