timestamp,vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
217458374,1,0,0,0,0
217463372,1,0,0,0,0
217660918,1,0,0,0,0
217860902,1,0,0,0,0
218060920,1,0,0,0,0
218260937,1,0,0,0,0
218460952,1,0,0,0,0
218658462,1,0,0,0,0
218858479,1,0,0,0,0
219060999,1,0,0,0,0
219261018,1,0,0,0,0
219461031,1,0,0,0,0
219661049,1,0,0,0,0
219861066,1,0,0,0,0
220058579,1,0,0,0,0
220258598,1,0,0,0,0
220461115,1,0,0,0,0
220661132,1,0,0,0,0
220858648,1,0,0,0,0
221061168,1,0,0,0,0
221261186,1,0,0,0,0
221458698,1,0,0,0,0
221658714,1,0,0,0,0
221861233,1,0,0,0,0
222061251,1,0,0,0,0
222261264,1,0,0,0,0
222461283,1,0,0,0,0
222658799,1,0,0,0,0
222858813,1,0,0,0,0
223058889,1,0,0,0,0
223261351,1,0,0,0,0
223461366,1,0,0,0,0
223661385,1,0,0,0,0
223861399,1,0,0,0,0
224058918,1,0,0,0,0
224258931,1,0,0,0,0
224458952,1,0,0,0,0
224661473,1,0,0,0,0
224861486,1,0,0,0,0
225061503,1,0,0,0,0
225261520,1,0,0,0,0
225459035,1,0,0,0,0
225659053,1,0,0,0,0
225859071,1,0,0,0,0
226061589,1,0,0,0,0
226261609,1,0,0,0,0
226461628,1,0,0,0,0
226661647,1,0,0,0,0
226859155,1,0,0,0,0
227059171,1,0,0,0,0
227259189,1,0,0,0,0
227461713,1,0,0,0,0
227661728,1,0,0,0,0
227861742,1,0,0,0,0
228061763,1,0,0,0,0
228259277,1,0,0,0,0
228459291,1,0,0,0,0
228659311,1,0,0,0,0
228859327,1,0,0,0,0
229061850,1,0,0,0,0
229261864,1,0,0,0,0
229459379,1,0,0,0,0
229659399,1,0,0,0,0
229859475,1,0,0,0,0
230059430,1,0,0,0,0
230259449,1,0,0,0,0
230461972,1,0,0,0,0
230661992,1,0,0,0,0
230859500,1,0,0,0,0
231059519,1,0,0,0,0
231259537,1,0,0,0,0
231459557,1,0,0,0,0
231659571,1,0,0,0,0
231862096,1,0,0,0,0
232062112,1,0,0,0,0
232259631,1,0,0,0,0
