"Auto,Manual Flag",Event Flag,GPS Time,Latitude (deg),Longitude (deg),Altitude (m)
0,1,1377699961.00841,36.660723,126.34204,0
0,1,1377699961.0186,36.660723,126.34204,-0
1,1,1377699961.20861,36.660723,126.34204,-0
1,1,1377699961.40847,36.660723,126.34204,-0
1,1,1377699961.60846,36.660723,126.34204,-0
1,1,1377699961.80847,36.660723,126.34204,-0
1,1,1377699962.00849,36.660723,126.34204,-0
1,1,1377699962.20849,36.660723,126.34204,-0
1,1,1377699962.40851,36.660723,126.34204,-0
1,1,1377699962.60866,36.660723,126.34204,-0
1,1,1377699962.8086,36.660723,126.34204,-0
1,1,1377699963.00855,36.660723,126.34204,-0.1
1,1,1377699963.20879,36.660723,126.34204,-0.1
1,1,1377699963.40862,36.660723,126.34204,-0.1
1,1,1377699963.6086,36.660723,126.34204,-0.1
1,1,1377699963.80879,36.660723,126.34204,-0.1
1,1,1377699964.00868,36.660723,126.34204,-0.1
1,1,1377699964.20878,36.660723,126.34204,-0.1
1,1,1377699964.40885,36.660723,126.34204,-0.1
1,1,1377699964.60903,36.660723,126.34204,-0.1
1,1,1377699964.80866,36.660724,126.34204,-0.1
1,1,1377699965.00872,36.660724,126.34204,-0.1
1,1,1377699965.20895,36.660724,126.34204,-0.1
1,1,1377699965.40871,36.660724,126.34204,-0
1,1,1377699965.60877,36.660724,126.34204,-0
1,1,1377699965.80893,36.660724,126.34204,-0
1,1,1377699966.00869,36.660724,126.34204,-0
1,1,1377699966.2088,36.660724,126.34204,-0
1,1,1377699966.40905,36.660724,126.34204,-0
1,1,1377699966.59883,36.660724,126.34204,-0
1,1,1377699966.80892,36.660724,126.34204,-0
1,1,1377699967.00889,36.660724,126.342039,0.1
1,1,1377699967.20886,36.660724,126.342039,0.1
1,1,1377699967.40889,36.660724,126.342039,0.2
1,1,1377699967.60894,36.660724,126.342038,0.3
1,1,1377699967.80908,36.660724,126.342038,0.3
1,1,1377699968.00894,36.660724,126.342038,0.4
1,1,1377699968.20902,36.660724,126.342038,0.5
1,1,1377699968.40899,36.660724,126.342038,0.6
1,1,1377699968.60914,36.660724,126.342038,0.7
1,1,1377699968.80899,36.660723,126.342039,0.9
1,1,1377699969.00926,36.660723,126.342039,1
1,1,1377699969.20904,36.660723,126.342039,1.1
1,1,1377699969.40905,36.660723,126.34204,1.2
1,1,1377699969.60914,36.660722,126.34204,1.4
1,1,1377699969.80907,36.660722,126.34204,1.5
1,1,1377699970.00913,36.660722,126.342041,1.7
1,1,1377699970.20914,36.660722,126.342041,1.9
1,1,1377699970.40926,36.660721,126.342041,2.1
1,1,1377699970.60929,36.660721,126.342042,2.2
1,1,1377699970.80915,36.660721,126.342042,2.4
1,1,1377699971.00917,36.660721,126.342042,2.6
