"Auto,Manual Flag",Event Flag,GPS Time,Latitude (deg),Longitude (deg),Altitude (m)
0,1,1377696448.54645,36.660693,126.342027,0
0,1,1377696448.55654,36.660693,126.342027,-0
1,1,1377696448.74648,36.660693,126.342027,0
1,1,1377696448.94662,36.660693,126.342027,0
1,1,1377696449.14654,36.660693,126.342027,-0
1,1,1377696449.3466,36.660693,126.342027,-0
1,1,1377696449.54667,36.660693,126.342027,-0
1,1,1377696449.74667,36.660693,126.342027,-0
1,1,1377696449.94675,36.660693,126.342027,-0
1,1,1377696450.1468,36.660693,126.342027,-0
1,1,1377696450.34677,36.660693,126.342027,-0
1,1,1377696450.54682,36.660693,126.342027,-0
1,1,1377696450.74688,36.660693,126.342027,-0
1,1,1377696450.94698,36.660693,126.342027,-0
1,1,1377696451.14698,36.660693,126.342027,-0
1,1,1377696451.34704,36.660693,126.342027,0
1,1,1377696451.54706,36.660692,126.342027,0
1,1,1377696451.74708,36.660692,126.342027,0
1,1,1377696451.94717,36.660692,126.342027,0
1,1,1377696452.14717,36.660692,126.342027,0
1,1,1377696452.34726,36.660692,126.342027,0
1,1,1377696452.54726,36.660692,126.342027,0
1,1,1377696452.74732,36.660692,126.342027,0.1
1,1,1377696452.94738,36.660692,126.342027,0.1
1,1,1377696453.14739,36.660692,126.342027,0.1
1,1,1377696453.34747,36.660692,126.342027,0.1
1,1,1377696453.5475,36.660692,126.342027,0.1
1,1,1377696453.74754,36.660692,126.342027,0.1
1,1,1377696453.94761,36.660692,126.342027,0.1
1,1,1377696454.14767,36.660692,126.342027,0.1
1,1,1377696454.34768,36.660693,126.342026,0.1
1,1,1377696454.5478,36.660693,126.342026,0.1
1,1,1377696454.7478,36.660693,126.342026,0.1
1,1,1377696454.94781,36.660693,126.342026,0.2
1,1,1377696455.14792,36.660694,126.342025,0.2
1,1,1377696455.34791,36.660694,126.342025,0.3
1,1,1377696455.538,36.660694,126.342025,0.3
1,1,1377696455.74808,36.660694,126.342025,0.4
1,1,1377696455.94807,36.660694,126.342025,0.5
1,1,1377696456.14809,36.660694,126.342025,0.6
1,1,1377696456.34813,36.660694,126.342025,0.6
1,1,1377696456.54818,36.660694,126.342026,0.7
1,1,1377696456.7383,36.660694,126.342026,0.8
1,1,1377696456.93826,36.660694,126.342026,1
1,1,1377696457.13832,36.660694,126.342027,1.1
1,1,1377696457.34848,36.660694,126.342027,1.2
1,1,1377696457.54839,36.660693,126.342027,1.4
1,1,1377696457.74843,36.660693,126.342028,1.5
1,1,1377696457.94861,36.660693,126.342028,1.7
1,1,1377696458.13852,36.660693,126.342028,1.8
1,1,1377696458.33856,36.660693,126.342028,2
1,1,1377696458.5486,36.660692,126.342028,2.2
1,1,1377696458.74867,36.660692,126.342028,2.3
1,1,1377696458.9487,36.660692,126.342028,2.5
1,1,1377696459.14873,36.660692,126.342028,2.7
1,1,1377696459.3388,36.660692,126.342028,2.9
1,1,1377696459.5389,36.660692,126.342028,3.1
1,1,1377696459.73894,36.660692,126.342028,3.2
1,1,1377696459.94893,36.660692,126.342028,3.4
1,1,1377696460.14903,36.660692,126.342029,3.6
1,1,1377696460.34902,36.660692,126.342028,3.8
1,1,1377696460.54916,36.660692,126.342028,4
1,1,1377696460.73915,36.660692,126.342028,4.1
1,1,1377696460.93912,36.660692,126.342028,4.3
1,1,1377696461.13922,36.660692,126.342028,4.5
1,1,1377696461.34926,36.660692,126.342028,4.7
1,1,1377696461.5493,36.660692,126.342029,4.9
1,1,1377696461.74941,36.660692,126.342029,5.2
1,1,1377696461.93947,36.660692,126.342029,5.4
1,1,1377696462.13943,36.660692,126.342029,5.6
1,1,1377696462.3395,36.660692,126.342029,5.8
1,1,1377696462.53955,36.660692,126.342029,6.1
1,1,1377696462.74958,36.660692,126.342029,6.3
1,1,1377696462.94973,36.660692,126.342028,6.5
1,1,1377696463.1397,36.660692,126.342028,6.7
1,1,1377696463.3397,36.660692,126.342028,6.9
1,1,1377696463.53975,36.660693,126.342027,7.1
1,1,1377696463.73986,36.660693,126.342027,7.3
1,1,1377696463.93989,36.660693,126.342027,7.4
1,1,1377696464.14992,36.660693,126.342027,7.7
